AGE	SEX	EDUC	WRKSTAT	RICHWORK	SATJOB	LIFE	IMPJOB	INCOME4	HRS1	DEGREE	ANOMIA5	DEGREE2	MAEDUC	PAEDUC	MACOLLEG	PACOLLEG	SATJOB2	MARITAL	AGEWED	SPWRKSTA	SPHRS1	SIBS	ZODIAC	SPEDUC	SPDEG	PARTYID	VOTE92	PRES92	POSTLIFE	HAPPY	HAPMAR	JOBINC	CLASSICL	OPERA	COUNTRY	RINCOM91	TVHOURS	FINRELA	WIFEDUC	HUSBEDUC	INCOMDOL	RINCMDOL	INCOME91
27	1	13	1	8	1	2	1	3	55	1	1	0	12	13	0	0	1	5	0	0	-1	3	4	97	7	2	2	0	0	2	0	3	3	4	3	17	3	3	?	?	55000	37500	19
23	2	16	1	1	3	3	2	2	35	3	1	1	12	97	0	?	2	5	0	0	-1	3	5	97	7	1	1	1	1	2	0	4	3	4	3	4	1	3	?	?	37500	4500	17
31	1	16	1	1	1	3	1	2	56	3	1	1	14	16	0	1	1	1	22	2	24	2	3	16	3	6	1	2	0	2	1	3	1	8	4	14	1	2	16	16	37500	23750	17
30	2	14	7	0	1	2	4	3	-1	2	2	0	12	12	0	0	1	1	24	3	-1	2	1	16	3	5	1	3	8	2	1	4	2	2	1	0	2	4	14	16	55000	?	19
77	1	16	5	0	0	2	1	3	-1	3	1	1	8	8	0	0	?	1	22	7	-1	3	5	12	1	6	1	2	2	2	2	3	2	3	3	0	4	3	12	16	55000	?	19
41	1	13	2	1	4	3	3	3	20	1	1	0	98	8	?	0	2	1	23	1	40	2	8	13	1	3	1	1	0	1	1	2	8	8	8	12	8	3	13	13	55000	18750	19
70	2	12	2	2	1	3	3	1	29	0	2	0	5	97	0	?	1	2	35	0	-1	3	1	97	7	0	1	1	0	1	0	2	8	3	2	9	4	2	?	?	13750	11250	10
81	1	8	5	0	0	0	2	1	-1	0	0	0	12	98	?	0	?	2	25	0	-1	5	8	97	7	1	1	1	1	2	0	0	2	1	2	0	1	1	?	?	16250	?	11
41	1	12	4	0	2	0	2	2	-1	1	0	0	14	12	0	0	2	1	25	1	38	8	9	12	1	1	1	1	2	3	2	0	3	3	4	10	10	3	12	12	37500	13750	17
41	2	12	7	0	1	2	1	1	-1	1	1	0	9	9	0	?	1	3	17	0	-1	9	12	97	7	0	1	1	1	2	0	2	3	4	2	0	5	1	?	?	9000	?	8
69	2	12	5	0	0	0	2	1	-1	0	0	0	0	8	0	0	?	2	20	0	-1	9	1	97	7	1	2	0	2	3	0	0	4	4	3	0	2	1	?	?	2000	?	2
41	2	12	4	1	2	2	1	1	-1	1	1	0	7	97	0	?	2	5	0	0	-1	2	4	97	7	0	2	0	1	3	0	2	8	4	5	0	5	2	?	?	5500	?	5
32	2	9	7	0	1	1	2	1	-1	0	1	0	5	5	0	0	1	1	30	8	-1	1	5	14	1	5	2	0	0	2	1	2	2	2	2	0	2	3	9	14	9000	?	8
29	2	14	1	0	2	0	3	1	40	2	0	0	16	97	1	?	2	1	22	7	-1	1	3	12	1	1	2	0	1	2	2	0	2	2	4	12	1	3	14	12	23750	18750	14
51	2	13	3	1	2	3	2	1	-1	1	1	0	14	12	0	0	2	5	0	0	-1	2	5	97	7	1	1	1	0	3	0	2	2	3	3	12	2	2	?	?	18750	18750	12
35	1	16	1	0	1	0	3	4	50	3	0	1	12	14	0	0	1	1	22	1	50	0	4	18	4	5	1	3	2	2	1	0	2	2	3	16	3	3	18	16	67500	32500	20
36	1	14	1	1	2	2	2	3	54	1	1	0	13	7	0	0	2	1	25	1	32	3	4	12	1	2	1	3	0	2	1	2	3	4	4	18	4	4	12	14	55000	45000	19
41	1	12	1	0	2	0	3	2	32	1	0	0	12	12	0	0	2	1	27	7	-1	2	10	12	1	2	1	1	8	2	1	0	4	5	3	17	4	1	12	12	37500	37500	17
62	2	18	1	2	2	2	2	1	55	3	1	1	98	8	?	0	2	5	0	0	-1	1	12	97	7	5	1	2	0	2	0	1	1	1	3	12	2	1	?	?	18750	18750	12
44	1	12	1	0	2	0	1	4	55	1	0	0	12	10	0	0	2	1	21	2	20	1	9	16	3	5	1	3	1	2	1	0	2	4	2	21	2	4	16	12	87500	87500	21
64	2	12	7	0	1	3	2	1	-1	1	2	0	3	14	0	0	1	1	22	2	16	5	12	10	0	6	1	2	1	2	2	9	2	5	2	0	4	2	12	10	18750	?	12
49	1	15	1	1	2	3	2	3	50	1	2	0	8	98	0	?	2	1	30	2	17	3	11	13	1	4	1	2	2	2	1	2	3	5	3	18	1	2	13	15	55000	45000	19
62	2	12	1	2	2	2	3	2	38	1	2	0	97	12	?	0	2	5	0	0	-1	4	9	97	7	5	1	2	0	2	0	2	2	2	2	15	1	3	?	?	37500	27500	17
62	2	18	5	0	0	0	3	4	-1	4	0	1	12	10	0	0	?	1	21	1	40	1	1	18	4	3	1	9	1	1	1	0	2	3	3	10	1	4	18	18	67500	13750	20
49	2	13	2	1	2	3	2	4	20	1	1	0	12	17	0	1	2	1	29	1	40	2	10	14	1	0	1	1	2	2	1	1	4	2	3	22	2	3	13	14	?	?	22
49	2	15	6	0	0	3	2	2	-1	2	1	0	16	13	1	0	?	3	22	0	-1	2	3	97	7	5	1	2	1	3	0	3	2	3	1	0	3	3	?	?	37500	?	17
45	1	18	1	0	2	0	2	4	50	4	0	1	12	20	0	1	2	1	26	7	-1	1	3	14	2	5	1	1	8	1	1	0	3	4	3	21	2	4	14	18	87500	87500	21
75	1	16	5	0	0	2	2	2	-1	3	1	1	9	8	0	0	?	2	30	0	-1	0	3	97	7	4	1	2	1	2	0	4	1	2	3	0	3	3	?	?	37500	?	17
75	1	16	5	0	0	2	2	1	-1	3	2	1	8	8	0	0	?	1	23	7	-1	8	11	12	1	1	1	3	0	1	1	1	4	3	3	0	4	3	12	16	23750	?	14
18	1	11	6	0	0	3	2	3	-1	0	1	0	20	97	1	?	?	5	0	0	-1	3	10	97	7	3	2	0	0	2	0	4	2	3	4	0	1	3	?	?	45000	?	18
31	1	16	1	1	2	2	3	2	45	3	2	1	14	15	0	1	2	5	0	0	-1	3	4	97	7	5	2	0	1	2	0	3	3	3	4	17	2	3	?	?	37500	37500	17
27	2	11	3	1	2	3	2	1	-1	0	2	0	12	97	0	?	2	5	0	0	-1	3	12	97	7	2	2	0	1	1	0	2	5	5	5	4	5	3	?	?	4500	4500	4
45	1	15	1	1	2	3	3	4	50	1	2	0	12	7	0	0	2	1	20	1	40	2	8	13	1	2	1	1	1	1	1	4	4	4	3	20	1	3	13	15	67500	67500	20
27	1	16	1	1	1	3	1	2	80	3	2	1	14	14	0	0	1	1	24	1	40	2	6	16	3	0	1	1	1	2	2	3	1	2	4	15	1	4	16	16	37500	27500	17
28	1	13	1	0	2	0	1	2	56	1	0	0	12	12	0	0	2	5	0	0	-1	2	4	97	7	4	1	1	1	2	0	0	1	4	4	16	4	3	?	?	32500	32500	16
52	1	14	3	0	2	0	2	4	-1	1	0	0	10	12	0	0	2	1	20	1	40	7	2	12	1	4	1	2	1	2	1	0	3	3	2	18	1	2	12	14	87500	45000	21
69	1	7	5	0	0	0	2	1	-1	0	0	0	7	7	0	0	?	1	25	7	-1	9	11	12	1	4	1	2	1	2	1	0	2	5	5	9	6	3	12	7	23750	11250	14
43	1	12	1	1	2	2	3	4	50	1	1	0	9	9	0	0	2	1	27	1	40	5	8	12	1	7	1	2	0	1	1	2	2	3	2	18	3	4	12	12	67500	45000	20
28	1	16	1	1	2	2	3	3	55	3	1	1	11	12	0	0	2	1	24	2	13	1	12	16	3	6	1	2	0	3	2	1	2	3	1	15	1	4	16	16	55000	27500	19
52	2	14	2	1	2	1	2	3	20	2	1	0	5	98	0	0	2	1	18	1	20	4	7	11	0	0	1	1	1	2	2	4	3	3	2	1	6	3	14	11	45000	500	18
37	2	17	2	0	1	0	2	4	24	3	0	1	13	8	0	0	1	1	20	1	56	3	11	14	1	4	1	3	1	1	1	0	2	2	2	17	4	4	17	14	67500	37500	20
36	2	12	2	0	1	0	2	4	16	1	0	0	16	12	1	0	1	1	19	1	55	4	6	12	1	2	1	9	1	1	2	0	8	8	1	22	2	3	12	12	?	?	22
24	2	12	1	1	1	2	2	2	55	1	1	0	98	12	?	0	1	1	19	1	43	6	11	12	1	2	1	1	1	2	1	4	4	4	2	10	2	3	12	12	37500	13750	17
51	1	19	1	1	1	3	2	4	40	4	1	1	16	16	1	1	1	1	37	1	40	2	12	18	4	2	1	1	0	2	2	3	1	2	3	21	1	4	18	19	87500	87500	21
57	1	17	1	2	2	3	2	4	60	3	2	1	12	12	0	0	2	1	20	2	30	8	1	14	1	3	1	3	1	1	1	1	1	2	1	21	1	4	14	17	87500	87500	21
72	1	16	1	0	3	0	2	4	40	3	0	1	12	12	0	0	2	1	34	7	-1	3	2	14	2	1	1	1	1	2	1	0	3	3	4	21	2	4	14	16	87500	87500	21
45	2	18	2	0	2	0	3	4	36	4	0	1	12	12	0	0	2	1	28	1	40	1	4	18	4	3	1	3	1	2	1	0	2	2	2	8	1	4	18	18	87500	9000	21
32	1	18	1	1	2	3	2	4	50	4	1	1	14	12	0	0	2	1	25	2	10	2	4	16	3	4	1	2	0	1	1	2	2	3	1	20	1	4	16	18	87500	67500	21
63	2	9	7	0	2	3	1	1	-1	1	1	0	8	8	0	0	2	2	17	0	-1	10	7	97	7	0	1	1	1	2	0	1	2	1	5	0	16	2	?	?	6500	?	6
50	1	15	1	0	1	0	2	2	40	2	0	0	97	5	?	0	1	5	0	0	-1	5	7	97	7	0	1	1	1	1	0	0	2	2	1	16	1	3	?	?	32500	32500	16
71	2	7	5	0	0	2	2	1	-1	0	1	0	97	98	?	0	?	2	19	0	-1	1	7	97	7	0	1	1	1	1	0	1	3	4	2	0	4	3	?	?	7500	?	7
59	1	16	4	0	2	0	3	1	-1	1	0	0	5	0	0	0	2	2	30	0	-1	11	11	97	7	0	1	1	2	2	0	0	1	1	3	9	3	2	?	?	11250	11250	9
30	1	16	6	0	0	2	1	4	-1	3	2	1	12	16	0	1	?	5	0	0	-1	3	5	97	7	6	3	0	0	3	0	1	1	2	1	0	3	3	?	?	67500	?	20
37	2	12	7	0	2	0	3	2	-1	1	0	0	10	98	0	0	2	1	26	1	40	3	2	12	1	1	2	0	1	2	2	0	4	4	1	2	8	2	12	12	27500	2000	15
54	2	8	2	1	1	1	3	1	9	0	2	0	8	98	0	0	1	1	18	1	40	19	2	11	0	3	2	0	8	3	2	4	5	5	1	1	7	2	8	11	9000	500	8
43	1	6	1	1	3	3	2	3	50	0	1	0	98	97	?	?	2	1	18	1	50	0	8	11	0	5	2	0	0	1	1	1	3	4	1	14	1	3	11	6	45000	23750	18
99	1	18	1	2	1	3	1	4	40	3	2	1	18	15	1	1	1	9	99	0	-1	2	8	97	7	5	1	1	0	1	0	3	3	2	8	22	2	3	?	?	?	?	22
62	2	12	7	0	9	0	2	3	-1	1	0	0	8	98	0	0	?	1	19	5	-1	7	8	12	1	0	1	1	1	1	1	0	2	2	2	0	2	3	12	12	45000	?	18
60	2	14	5	0	0	3	2	4	-1	1	2	0	14	14	0	0	?	1	18	1	60	0	4	14	1	0	1	1	1	1	1	3	2	2	3	17	1	3	14	14	87500	37500	21
60	1	13	1	1	1	3	2	4	50	1	1	0	10	12	0	0	1	1	19	1	40	0	2	14	1	0	1	1	0	2	1	3	2	2	2	21	2	4	14	13	87500	87500	21
46	2	16	1	1	1	3	1	4	80	3	1	1	16	16	1	1	1	1	28	1	40	1	8	99	0	3	1	8	8	1	1	3	2	5	4	22	2	8	?	?	87500	?	21
30	2	12	7	0	2	0	2	1	-1	1	0	0	12	12	0	0	2	3	18	0	-1	10	12	97	7	3	2	0	8	2	0	0	5	5	2	0	8	2	?	?	7500	?	7
27	1	15	1	2	2	2	2	3	55	1	2	0	14	97	0	?	2	1	26	1	40	1	10	12	1	4	2	0	2	1	1	1	5	5	1	15	3	3	12	15	55000	27500	19
45	2	12	1	2	3	2	3	3	40	1	1	0	12	98	0	0	2	3	19	0	-1	1	3	97	7	5	2	0	2	2	0	1	2	2	1	16	3	3	?	?	45000	32500	18
51	1	16	1	1	2	2	3	4	65	3	1	1	8	10	0	0	2	1	21	1	55	2	11	16	3	6	1	3	1	2	2	2	2	4	4	20	3	2	16	16	?	67500	99
38	1	16	1	2	1	2	2	4	40	3	1	1	12	12	1	1	1	1	28	1	70	1	9	18	4	4	1	3	0	1	1	3	4	5	2	19	2	4	18	16	67500	55000	20
44	1	20	1	1	1	3	1	4	55	4	1	1	6	97	0	?	1	1	27	1	40	1	10	20	4	0	1	1	1	2	1	2	1	5	2	17	2	2	20	20	67500	37500	20
40	1	18	1	1	2	2	2	4	55	4	1	1	14	14	0	0	2	1	29	2	24	3	4	18	4	5	1	3	0	2	2	2	3	4	4	19	1	4	18	18	67500	55000	20
51	1	12	1	1	1	3	2	4	60	1	2	0	12	12	0	0	1	1	19	1	60	3	6	14	2	5	1	2	1	1	1	3	3	3	1	16	99	3	14	12	67500	32500	20
40	2	14	2	0	2	0	3	4	35	1	0	0	12	12	0	0	2	1	19	1	40	2	3	17	3	6	1	2	1	2	1	0	4	5	2	22	1	3	14	17	?	?	22
34	2	14	7	0	1	0	3	4	-1	1	0	0	14	16	0	1	1	1	29	1	60	3	7	18	4	5	1	2	8	1	1	0	4	4	3	9	5	3	14	18	87500	11250	21
54	2	12	3	2	1	3	2	1	-1	1	2	0	98	98	0	?	1	2	17	0	-1	0	5	97	7	2	2	0	1	2	0	2	1	1	1	8	4	2	?	?	11250	9000	9
59	1	20	1	1	1	3	2	4	67	4	2	1	8	8	0	0	1	1	21	1	40	5	3	14	1	6	1	2	1	1	1	2	1	4	2	21	1	2	14	20	87500	87500	21
36	1	12	1	2	1	3	2	4	75	1	2	0	12	12	0	0	1	5	0	0	-1	6	8	97	7	3	1	3	1	1	0	1	2	4	1	19	1	4	?	?	67500	55000	20
35	1	14	1	1	2	3	2	4	40	1	1	0	1	1	0	0	2	1	30	1	40	5	9	16	3	5	1	2	1	2	1	1	5	5	2	17	2	8	16	14	67500	37500	20
30	2	14	1	0	1	0	2	4	50	1	0	0	9	97	0	?	1	1	19	1	65	4	11	13	1	5	1	2	2	2	1	0	3	4	2	14	1	3	14	13	67500	23750	20
34	2	16	3	2	1	3	3	3	-1	3	2	1	14	14	0	0	1	1	20	1	50	2	3	14	1	2	1	1	1	1	1	4	1	2	3	13	2	3	16	14	45000	21250	18
32	1	12	1	0	1	0	1	4	60	1	0	0	11	9	0	0	1	1	22	7	-1	6	11	12	1	4	2	0	1	2	2	0	3	5	5	0	2	2	12	12	?	?	98
73	2	12	5	0	0	3	1	1	-1	1	2	0	12	12	0	0	?	2	20	0	-1	4	9	97	7	1	2	0	0	1	0	2	3	2	1	0	2	4	?	?	5500	?	5
66	1	16	5	0	0	0	2	4	-1	3	0	1	14	13	0	0	?	1	25	7	-1	1	1	14	1	6	1	2	1	2	1	0	3	3	2	0	2	1	14	16	87500	?	21
33	2	16	1	0	2	0	2	3	45	3	0	1	12	12	0	0	2	5	0	0	-1	5	12	97	7	5	1	3	1	2	0	0	1	5	2	18	1	4	?	?	45000	45000	18
38	2	17	2	0	1	0	3	4	18	3	0	1	16	19	1	1	1	1	32	1	40	1	12	20	4	6	1	2	1	1	1	0	1	4	3	22	2	4	17	20	?	?	22
