URBAN	GDP	LIFEEXPM	LIFEEXPF	BIRTHRAT	DEATHRAT	INFMR	FERTRATE	REGION	DEVELOP	RADIO	PHONE	HOSPBED	DOCS	LNDOCS	LNRADIO	LNPHONE	LNGDP	SEQUENCE	LNBEDS	POP92
70	6800	66	71	36	6	60	6.7	3	1	25	?	35.84229391	12.98701299	2.563949857	3.218875825	?	8.824677891	23	3.57912859	44.85
50	1060	63	67	30	8	56	4.2	3	1	18.51851852	1.612903226	10.42752868	2.265005663	0.817577259	2.918771232	0.478035801	6.966024187	24	2.344449297	26.708
22	450	53	54	44	14	85	6.3	3	1	21.73913043	0.295857988	9.009009009	0.774653343	-0.25533965	3.079113882	-1.217875709	6.109247583	25	2.198225078	28.305
49	1320	70	74	26	5	38	3.4	3	1	21.27659574	4.166666667	19.76284585	5.452562704	1.696085719	3.057607677	1.427116356	7.185387016	26	2.983803703	8.445
25	2384	59	65	36	9	43	5.9	4	1	83.33333333	3.846153846	38.61003861	1.391788448	0.330589573	4.422848629	1.347073648	7.776535028	27	3.65351231	1.3
16	240	60	63	35	10	74	5.6	4	1	20	?	14.88095238	0.635808749	-0.45285747	2.995732274	?	5.480638923	28	2.700082031	1.848
33	1400	58	63	45	10	66	5.7	4	0	17.24137931	5.882352941	60.24096386	2.247191011	0.809680997	2.847312268	1.771956842	7.244227516	29	4.098352584	1.574
60	2600	62	67	35	8	51	4.2	4	0	33.33333333	16.39344262	?	7.575757576	2.024953356	3.506557897	2.796881415	7.863266724	30	?	41.688
20	400	49	52	49	16	115	6.9	5	1	7.142857143	?	13.35113485	0.624024961	-0.47156491	1.966112856	?	5.991464547	31	2.591601388	4.997
8	205	52	53	50	16	117	6.4	5	1	2.272727273	0.20746888	7.358351729	0.334291636	-1.095741505	0.820980552	-1.572773928	5.323009979	32	1.995835958	9.653
33	400	53	56	46	13	86	6.2	5	1	21.27659574	0.523560209	?	0.451936548	-0.794213489	3.057607677	-0.647103242	5.991464547	33	?	16.185
26	410	41	45	46	21	144	6.1	5	1	2.941176471	0.281690141	?	1.027538019	0.027165668	1.078809661	-1.266947603	6.01615716	34	?	7.783
46	440	54	59	45	13	119	6.4	5	1	22.72727273	0.35971223	15.01501502	1.180080245	0.165582441	3.123565645	-1.022450928	6.086774727	35	2.709050701	2.462
25	265	43	47	51	21	110	6.6	5	1	1.886792453	0.136986301	5.268703899	0.353756898	-1.03914533	0.634878272	-1.987874348	5.579729826	36	1.661784393	8.641
34	520	44	50	49	19	89	6.4	5	1	12.82051282	?	8.216926869	0.978665101	-0.021565778	2.551046452	?	6.253828812	37	2.106196279	2.059
21	300	42	45	58	23	125	7	5	1	5.263157895	0.177619893	?	?	?	1.660731207	-1.728109442	5.703782475	38	?	8.052
35	230	48	50	46	17	110	6.8	5	1	8.333333333	0.416666667	8.756567426	1.449275362	0.371063681	2.120263536	-0.875468737	5.438079309	39	2.169803982	88.5
30	615	54	57	44	13	80	6.2	5	1	11.49425287	0.666666667	8.818342152	0.585754452	-0.534854602	2.44184716	-0.405465108	6.421622268	40	2.176833888	8.205
33	330	43	48	46	21	148	6.4	5	1	23.80952381	0.625	10.20408163	0.760456274	-0.273836666	3.170085661	-0.470003629	5.799092654	41	2.3227878	4.456
25	400	54	58	48	12	94	6	5	1	20	0.591715976	13.29787234	0.769704433	-0.26174869	2.995732274	-0.524728529	5.991464547	42	2.587604048	3.958
72	1580	74	79	18	7	12	1.7	6	1	33.33333333	5.263157895	70.92198582	33.00330033	3.496607566	3.506557897	1.660731207	7.365180126	43	4.261580482	10.846
60	950	66	70	27	7	56	3.3	6	1	16.66666667	4.166666667	6.631299735	10.70663812	2.370863934	2.813410717	1.427116356	6.856461985	44	1.891800823	7.515
29	440	53	55	43	15	104	4.4	6	1	45.45454545	1.265822785	7.949125596	1.655903295	0.504346658	3.816712826	0.235722334	6.086774727	45	2.073061935	6.431
52	1400	72	76	24	6	17	2.4	6	1	38.46153846	7.692307692	21.36752137	1.693766938	0.526955006	3.649658741	2.040220829	7.244227516	46	3.061872076	2.506
64	3600	68	73	21	6	18	2.5	6	1	32.25806452	20	31.44654088	6.4808814	1.86885652	3.473768074	2.995732274	8.188689124	47	3.448288989	1.285
50	1810	75	79	27	4	12	3	7	1	9.090909091	14.49275362	22.02643172	12.53132832	2.528231775	2.207274913	2.673648774	7.501082124	48	3.092243174	3.187
45	1010	68	75	33	5	26	4.5	7	1	38.46153846	2.777777778	10.27749229	7.56429652	2.023439352	3.649658741	1.021651248	6.91770561	49	2.32995629	5.574
39	1260	61	66	34	8	56	5.4	7	1	4.545454545	2.777777778	?	4.244482173	1.445619827	1.514127733	1.021651248	7.138867	50	?	9.784
40	960	64	68	38	7	56	4.9	7	1	41.66666667	1.724137931	12.18026797	6.30517024	1.84136997	3.729701449	0.544727175	6.866933284	51	2.499817263	4.949
72	3200	69	76	29	5	29	3.1	7	1	19.60784314	13.15789474	7.704160247	16.66666667	2.813410717	2.975929646	2.577021939	8.070906089	52	2.041760475	92.38
60	425	61	66	37	8	57	5	7	1	23.25581395	1.219512195	13.14060447	5.959475566	1.784982485	3.146555163	0.198450939	6.052089169	53	2.575707014	3.878
53	1150	73	77	26	5	17	2.9	7	1	40	10.75268817	30.3030303	11.36363636	2.430418465	3.688879454	2.375155786	7.047517221	54	3.411247718	2.529
87	3100	67	74	20	9	31	2.8	8	1	100	11.11111111	66.66666667	30.67484663	3.423442991	4.605170186	2.407945609	8.03915739	55	4.199705078	32.901
51	690	59	64	34	19	83	5.8	8	1	55.55555556	2.702702703	14.57725948	4.708097928	1.54928399	4.017383521	0.994252273	6.536691598	56	2.679462744	7.323
76	2540	62	68	26	7	67	3.2	8	1	40	10	35.0877193	14.61988304	2.682382454	3.688879454	2.302585093	7.83991936	57	3.557851192	158
84	2200	71	77	21	6	18	2.7	8	1	30.3030303	6.25	32.89473684	10.88139282	2.38705425	3.411247718	1.832581464	7.696212639	58	3.493312671	13.528
65.4	1300	69	74	24	5	37	3.3	8	1	13.69863014	7.692307692	?	9.267840593	2.226550407	2.617295838	2.040220829	7.170119543	59	?	34.296
54	1070	67	72	28	6	60	4.3	8	1	29.41176471	3.571428571	16.39344262	11.00110011	2.397995278	3.381394754	1.272965676	6.975413927	60	2.796881415	10.933
35	300	61	68	21	7	51	2.4	8	1	40	2.127659574	29.3255132	1.468644441	0.384339826	3.688879454	0.755022584	5.703782475	61	3.378457895	0.739
46	1460	71	74	33	5	28	4.3	8	1	18.51851852	2.380952381	10.74113856	9.920634921	2.294616923	2.918771232	0.867500568	7.286191715	62	2.374081095	4.929
70	920	63	67	28	8	59	4	8	1	19.23076923	3.571428571	16	10.03009027	2.305589602	2.95651156	1.272965676	6.82437367	63	2.772588722	22.767
86	2935	69	76	17	10	22	2.5	8	1	100	17.24137931	78.74015748	29.3255132	3.378457895	4.605170186	2.847312268	7.984462732	64	4.366153286	3.121
83	2590	71	78	28	4	23	3.5	8	1	41.66666667	9.090909091	27.02702703	17.36111111	2.854232711	3.729701449	2.207274913	7.859413155	65	3.296837366	20.675
77	19400	74	81	14	7	7.3	1.7	9	0	83.33333333	76.92307692	67.56756757	22.27171492	3.103317484	4.422848629	4.342805922	9.873028345	66	4.213128098	27.351
76	22470	72	79	14	9	10	1.9	9	0	200	52.63157895	50.50505051	24.75247525	3.208925494	5.298317367	3.9633163	10.01993637	67	3.922073341	256.561
27	360	69	72	22	7	33	2.2	10	1	10.98901099	1.123595506	23.36448598	15.47987616	2.739540868	2.396895772	0.116533816	5.886104031	68	3.151217176	1169.619
77	19100	77	82	10	7	4	1.8	10	0	76.92307692	43.47826087	135.1351351	17.00680272	2.833613424	4.342805922	3.772261063	9.857443614	69	4.906275279	124.46
60	1035	66	72	24	6	30	3.2	10	1	16.66666667	?	135.1351351	27.02702703	3.296837366	2.813410717	?	6.942156706	70	4.906275279	22.227
74	6300	67	73	15	6	23	1.8	10	1	100	30.3030303	23.31002331	9.930486594	2.295609479	4.605170186	3.411247718	8.748304912	71	3.148883453	44.149
58	900	63	68	34	6	47	5.2	10	1	13.33333333	3.125	126.5822785	28.98550725	3.366795955	2.590267165	1.139434283	6.802394763	72	4.84089252	2.305
12	130	48	51	37	15	121	4.4	11	1	10	0.558659218	15.82278481	0.37037037	-0.993251773	2.302585093	-0.58221562	4.86753445	73	2.761450978	7.249
31	630	59	64	26	8	70	2.9	11	1	12.5	0.581395349	6.734006734	1.34643867	0.297463084	2.525728644	-0.542324291	6.445719819	74	1.907170321	195
19	200	49	52	44	16	107	5.3	11	1	11.11111111	?	27.100271	1.539645881	0.431552443	2.407945609	?	5.298317367	75	3.299543728	4.44
38	2670	66	71	30	6	27	3.1	11	1	41.66666667	12.5	21.88183807	3.790750569	1.332564039	3.729701449	2.525728644	7.889833751	76	3.085656981	18.41
25	530	57	61	29	10	68	3.7	11	1	7.692307692	0.199600798	6.242197253	2.950722927	1.0820502	2.040220829	-1.611435915	6.272877007	77	1.831332244	42.642
100	13900	73	78	18	5	6	1.7	11	1	23.80952381	47.61904762	36.76470588	12.83697047	2.552329326	3.170085661	3.863232841	9.539644119	78	3.604538306	2.792
20	1630	67	71	20	7	35	2.2	11	1	17.54385965	2.43902439	16.75041876	2.365744026	0.861092571	2.864704011	0.891598119	7.396335294	79	2.818423259	57.624
20	230	63	67	29	8	48	3.7	11	1	10	0.183823529	34.24657534	3.22997416	1.172474137	2.302585093	-1.693779061	5.438079309	80	3.53358657	68.964
18	220	45	43	44	20	164	6.8	12	1	9.090909091	0.225733634	4.868549172	2.084636231	0.73459437	2.207274913	-1.488399584	5.393627546	81	1.582795981	16.095
24	200	55	54	36	13	112	5.1	12	1	4.166666667	0.174825175	3.129890454	1.818181818	0.597837001	1.427116356	-1.743968805	5.298317367	82	1.140998005	119
95	199	50	48	40	17	126	5.5	12	1	1.5625	0.148148148	6.775067751	1.032417923	0.031903549	0.446287103	-1.909542505	5.293304825	83	1.913249367	1.66
28	380	57	58	30	11	81	4.1	12	1	6.666666667	0.5	7.610350076	4.278990158	1.453717037	1.897119985	-0.693147181	5.940171253	84	2.029509173	886.362
57	1500	64	66	44	10	66	5.4	12	1	21.27659574	4	15.31393568	3.46981263	1.244100595	3.057607677	1.386294361	7.313220387	85	2.728763243	61.183
8	165	51	51	38	14	90	5.5	12	1	3.125	0.240963855	2.525252525	0.509061291	-0.675186855	1.139434283	-1.423108334	5.105945474	86	0.926341068	20.086
32	380	56	57	43	14	105	5.9	12	1	7.692307692	0.763358779	5.861664713	4.230118443	1.442229993	2.040220829	-0.270027137	5.940171253	87	1.768433644	121.644
26	410	69	74	21	6	21	2.5	12	1	12.5	0.980392157	28.08988764	1.513088213	0.414152737	2.525728644	-0.019802627	6.01615716	88	3.335409641	17.631
70	1950	62	64	45	8	84	5.9	13	1	20	4	17.06484642	5.202913632	1.649218782	2.995732274	1.386294361	7.575584652	89	2.837020582	18.445
89	12500	76	79	21	6	9	2.7	13	0	45.45454545	47.61904762	62.11180124	28.98550725	3.366795955	3.816712826	3.863232841	9.433483923	90	4.128936007	4.748
68	1012	70	73	46.7	5	38	6.9	13	1	22.22222222	10	19.92031873	12.300123	2.509609262	3.101092789	2.302585093	6.91968385	91	2.991740252	3.557
95	6200	72	76	32	2	15	4.3	13	1	55.55555556	14.49275362	29.76190476	14.38848921	2.666428526	4.017383521	2.673648774	8.732304571	92	3.393229212	1.318
84	1400	66	71	28	7	43	3.1	13	1	76.92307692	5.434782609	38.02281369	12.97016861	2.562651998	4.342805922	1.692819521	7.244227516	93	3.63818634	3.439
10	4852	65	69	?	?	40	7.1	13	1	62.5	7.142857143	26.31578947	9.337068161	2.233992302	4.135166557	1.966112856	8.48714627	94	3.270169119	1.587
78	5800	65	68	38	7	69	7.1	13	1	30.3030303	7.692307692	24.63054187	11.7370892	2.462753845	3.411247718	2.040220829	8.665613197	95	3.203987212	16.9
50	2300	65	67	44	7	45	6.3	13	1	24.3902439	5.882352941	11.9047619	7.423904974	2.004705196	3.194183212	1.771956842	7.740664402	96	2.47693848	13.73
61	3400	68	72	28	6	54	3.2	13	1	12.82051282	14.28571429	21.50537634	9.025270758	2.200028505	2.551046452	2.659260037	8.131530711	97	3.068302966	59.64
81	12100	70	74	20	3	23	4.3	13	1	21.27659574	23.25581395	22.62443439	9.460737938	2.247150386	3.057607677	3.146555163	9.400960732	98	3.11903049	2.522
29	545	49	51	51	16	118	5.7	13	1	2.857142857	0.636942675	10.05025126	1.807991322	0.592216462	1.049822124	-0.451075619	6.300785795	99	2.307597635	10.394
67	5300	69	76	13	12	13	1.8	14	0	20.83333333	20.83333333	97.08737864	29.6735905	3.390257442	3.036554268	3.036554268	8.5754621	100	4.575611384	8.868
62	5700	66	75	12	14	14	1.8	14	0	58.82352941	18.18181818	101.010101	32.67973856	3.48675527	4.074541935	2.900422094	8.648221454	101	4.615220522	10.333
62	4300	68	76	14	9	14	2.1	14	0	27.77777778	13.33333333	64.93506494	21.23142251	3.055482278	3.324236341	2.590267165	8.366370302	102	4.17338777	38.385
55	3100	68	74	14	10	22	2	14	0	13.69863014	12.98701299	93.45794393	21.18644068	3.053361386	2.617295838	2.563949857	8.03915739	103	4.537511538	23.169
86	17700	72	78	12	11	7	1.5	15	0	41.66666667	83.33333333	56.49717514	27.77777778	3.324236341	3.729701449	4.422848629	9.781319919	104	4.034190639	5.163
61	16200	72	80	12	10	6	1.7	15	0	100	47.61904762	135.1351351	19.88071571	2.989750202	4.605170186	3.863232841	9.692766521	105	4.906275279	5.004
57	11200	72	78	15	9	8	2.4	15	0	58.82352941	26.31578947	38.91050584	14.68428781	2.686778066	4.074541935	3.270169119	9.323669057	106	3.661264287	3.531
75	17100	74	81	14	11	7.1	1.7	15	0	76.92307692	62.5	59.52380952	32.36245955	3.476999095	4.342805922	4.135166557	9.746833742	107	4.086376393	4.294
85	17200	75	81	13	11	6	1.7	15	0	83.33333333	90.90909091	67.56756757	31.25	3.442019376	4.422848629	4.509860006	9.752664663	108	4.213128098	8.602
90	15900	73	79	14	11	8	1.8	15	0	100	52.63157895	72.46376812	16.36661211	2.795243413	4.605170186	3.9633163	9.674074388	109	4.283086687	57.798
35	1300	72	79	23	5	27	2.7	16	0	16.66666667	?	56.81818182	17.42160279	2.857710976	2.813410717	?	7.170119543	110	4.039856377	3.285
63	7730	75	80	11	9	10	1.7	16	0	41.66666667	45.45454545	51.8134715	30.58103976	3.420380201	3.729701449	3.816712826	8.952864142	111	3.947650183	10.064
67	16700	74	81	11	10	8	1.5	16	0	29.41176471	55.55555556	74.07407407	42.91845494	3.759301918	3.381394754	4.017383521	9.723163998	112	4.305065594	57.904
34	8400	71	78	12	10	10	1.7	16	0	23.80952381	27.77777778	43.47826087	28.40909091	3.346709196	3.170085661	3.324236341	9.035986985	113	3.772261063	10.448
79	12400	75	82	11	8	6	1.7	16	0	29.41176471	40	50.50505051	36.36363636	3.593569274	3.381394754	3.688879454	9.425451752	114	3.922073341	39.118
54	20895	74	81	12	11	8	1.5	17	0	62.5	55.55555556	99.00990099	29.94011976	3.399199379	4.135166557	4.017383521	9.947265175	115	4.595219855	7.867
96	17300	73	80	10	10	8	?	17	0	45.45454545	52.63157895	92.59259259	31.54574132	3.451438598	3.816712826	3.9633163	9.75846178	116	4.528209145	10.016
74	18300	74	82	13	9	7	1.8	17	0	90.90909091	58.82352941	125	26.73796791	3.286084575	4.509860006	4.074541935	9.814656339	117	4.828313737	57.287
88.3	16600	75	81	13	9	7	1.5	17	0	83.33333333	62.5	60.97560976	24.15458937	3.184474398	4.422848629	4.135166557	9.717157974	118	4.110473944	15.112
60	21700	76	83	12	10	5	1.6	17	0	38.46153846	83.33333333	99.00990099	31.54574132	3.451438598	3.649658741	4.422848629	9.98506754	119	4.595219855	6.828
85	18054	74	80	15	8	8	1.8	18	0	50	50	50.25125628	22.83105023	3.128121462	3.912023005	3.912023005	9.801122546	120	3.917035547	17.567
76	14000	72	80	15	8	10	1.8	18	0	90.90909091	71.42857143	90.09009009	27.8551532	3.327017983	4.509860006	4.268697949	9.546812609	121	4.500810171	3.347
15	800	55	56	34	11	55	?	18	1	6.666666667	2.083333333	45.04504505	0.840053763	-0.174289385	1.897119985	0.733969175	6.684611728	122	3.80766299	4.006
