LOINC93	LEP93	LEP94	GRAD93	GRAD94	ACT94	ACT93	PCTACT93	PCTACT94	MATH93	MATH94ME	MATHCH94	READ94ME	READCH94	SCIENC93	SCI94ME	SCICH94	ID	MEDLOINC	READ93
78.3	0.1	0.1	47.9	39.6	15	14.7	59.7	39.5	125	13	4	12	-11	147	18	-10	17	1	122
82.9	26.2	27.5	24.7	27.2	14.9	14.3	43.9	45.9	134	22	6	30	8	157	26	-3	18	1	120
57	0	0	51.4	50.3	15.2	15.4	37	34.3	152	19	-9	28	-10	159	25	1	19	0	156
86.2	0.1	0.1	27	39.3	13.8	14.2	31.1	23.7	131	11	-1	15	-2	135	5	-2	20	1	113
71.4	31.4	32.5	46	45.8	15.5	15.5	50.9	47.2	164	34	-4	44	-4	185	45	-2	21	1	172
51.9	7.7	9.1	41.2	42.2	15.8	15.6	41.8	53.2	157	25	-5	34	-6	167	28	-3	22	0	161
58.4	0	0.1	46.3	42.4	15	15.5	66.1	37.4	143	20	0	27	-8	175	28	-2	23	1	157
38	0.2	0.1	24.1	32.8	14.1	14.5	25.6	26	128	12	1	19	-3	150	14	-6	24	0	127
52.1	0	0	46.1	48	15.3	15.3	74.8	60.6	162	20	-16	36	-22	175	36	-2	25	0	188
81	8.6	8.5	59.2	73.9	17	17.7	53.5	72.5	198	68	9	65	6	221	53	-18	26	1	200
53.8	0	0	56.1	59	17.7	18	77.9	77.1	206	57	-5	61	-8	226	64	-10	27	0	215
83.8	27.4	28.3	42.5	40.5	16.4	16	57.2	54.2	163	44	8	37	-2	175	43	3	30	1	160
33.5	0.1	0.1	55.8	43.6	16.1	15.8	62.6	53.3	151	29	5	43	3	181	28	-18	31	0	161
89.7	22.7	25.2	27.9	44.1	15.4	15.4	47.3	41.5	161	43	7	35	-10	170	43	10	32	1	171
77.8	22.4	26.3	38.5	48.7	14.8	14.9	33.2	30.8	143	20	1	25	-14	162	34	4	33	1	154
48	4.7	8.6	38.9	60.9	15.8	16.1	44.4	65.9	182	53	5	56	5	187	60	15	34	0	184
36.9	0.3	0.4	58.6	60.4	19.6	20	99.6	89	230	65	-1	66	-9	245	75	0	35	0	248
78.1	0	0	29	36	14.4	14.4	48.3	42.2	128	14	3	22	0	142	13	-6	36	1	129
22	1.6	13.6	51.3	35.3	15.8	16.2	51.7	50.9	181	56	10	49	-8	187	49	-1	37	0	193
41.1	0.3	0	81.2	87.7	20.9	21.4	90	86.6	285	94	0	91	-3	286	94	-1	38	0	292
12.6	3.1	2.7	57.1	66.1	20.6	20.3	89.5	92.9	213	70	14	68	1	269	76	1	39	0	228
49.8	0	0	71.4	79.4	18	18.4	79	90.6	224	87	-2	76	2	243	82	-9	40	0	226
74.8	0	0	35	34.4	14.4	14.5	24.6	27.3	131	9	-2	12	-10	145	23	8	41	1	123
37.8	0.1	0.1	23.4	28.8	14.2	14.4	46.2	45.1	131	13	-2	30	5	151	24	3	42	0	132
57.8	17.4	24.8	67.8	69.4	16.8	17.5	64.3	67.9	191	51	0	47	-9	214	56	-4	43	1	191
45.1	1.8	2.2	70.9	75.9	18.9	18.8	79	83.9	211	62	1	67	-4	232	63	-8	44	0	228
81.1	1.3	2.6	36.1	44.7	14.5	14.7	44.8	38.3	140	18	-1	16	-13	155	17	-7	45	1	144
61.7	0.5	0.6	30.5	25.4	14.6	14.1	43.3	53.6	136	12	-4	17	-12	174	26	-8	46	1	134
78.5	0	0	34	27.5	14.4	14	43.4	42.3	121	12	3	17	-3	141	22	6	47	1	127
62.5	1.5	5.5	42.6	67.5	16	16.1	43.9	48	207	58	-11	51	-20	196	64	2	48	1	215
24.6	0.1	2.1	54.2	51.2	14.8	14.8	41.4	43.4	144	17	-4	26	-6	155	24	4	49	0	152
62.4	0	0	32	45	13.6	14.4	84.2	40.1	138	20	2	18	-2	138	16	-1	50	1	125
67.6	29.5	32.8	49.4	47.4	15.5	15	67.7	66	158	35	4	41	-6	182	42	-2	51	1	167
67.2	25.7	29.3	41.5	44.1	15.1	15.2	36.2	33.9	155	29	1	37	-6	164	35	3	52	1	168
70.5	28.6	27.7	47.3	40.3	15	15.5	48.8	56.3	159	40	7	33	3	159	32	2	53	1	134
56.5	0	0	55.7	63.4	15.7	15.8	54	52.8	176	43	-1	45	-14	180	41	-1	54	0	196
52.7	0	0.1	45.3	42.9	14.7	14.4	38.2	56	136	9	-11	23	-5	141	21	1	55	0	134
33.5	11.5	9.1	?	50.1	16.2	16.5	59.2	46.3	181	46	3	44	-6	189	54	7	56	0	182
77.9	15.9	14.1	38.9	58.4	17	16.3	56.3	58	178	48	3	51	-4	207	60	1	57	1	189
47.5	4.1	6.2	63.3	57	16.8	17.1	68.5	67.2	178	46	3	46	-5	187	50	2	58	0	187
65	7.2	7.5	24.8	38.1	15.2	14.8	31.7	35.1	136	20	3	17	-5	151	21	-4	59	1	124
40.1	0.8	1.5	78.2	66.5	20	19.9	91.3	95.3	246	89	8	83	-1	267	88	-2	60	0	249
33.8	6.7	7.8	51.9	59.7	16.7	17.3	52.6	53.7	182	46	-3	47	-11	202	51	-6	61	0	196
41.9	18.3	19.1	35	35.7	15.8	15.1	50.2	43.1	156	25	-6	30	-5	172	33	-5	62	0	155
67.8	0	0	61.9	42.1	14.7	15	28.6	28.1	158	24	-6	26	-18	139	28	18	63	1	166
28.1	0.2	0.1	87.3	88	22.5	22.3	91.7	96.4	331	99	1	97	-1	311	98	1	64	0	327
